Hogar,EXCLUIR,paraValidacion,Sector,DirCoordX,DirCoordY,MontoArr,IngresoHogar,Factor,AnosEstudio,CLASE,Sup_Prom_Constr_Hab_EOD,Calid_EOD_norm_inv,DensConstr_EOD,Dist_est_Metro_MC_KM,Dist_salida_Autop_MC_KM,Tiempo_Com_Stgo,Ingreso_Promedio_Zona_MM,Acc_Comercio_tpte_pub,Acc_Educacion_tpte_pub,Acc_Habitacion_tpte_pub,Acc_Industria_tpte_pub,Acc_Servicios_tpte_pub,Acc_Comercio_auto,Acc_Educacion_auto,Acc_Habitacion_auto,Acc_Industria_auto,Acc_Servicios_auto,CLUSTER7,CLUSTER2
100010,0,0,7,335180.8019,6266420.975,100000,450845,136.393738,11,1,53.8,0.98,0.059,23.05171147,4.345178548,69,0.519764709,704.97642,406.0983,6110.62492,671.08681,719.84272,3036.41,1781.81,30505.65,2853.19,3058.03,3,1
100020,0,0,7,338410.2114,6265607.141,120000,1019369,73.843597,11,1,59.6,0.98,0.033,21.08017693,1.381521077,84,0.678317,704.97642,406.0983,6110.62492,671.08681,719.84272,3036.41,1781.81,30505.65,2853.19,3058.03,3,1
100030,0,0,7,327863.8248,6257800.086,70000,80000,180.722809,10,1,59.5,0.98,0.004,34.1478939,11.99338943,83,0.408158222,704.97642,406.0983,6110.62492,671.08681,719.84272,3036.41,1781.81,30505.65,2853.19,3058.03,3,1
100041,0,0,7,327864,6257800,80000,559259,150.379059,14,2,59.5,0.98,0.004,34.1478168,11.99326807,83,0.408158222,704.97642,406.0983,6110.62492,671.08681,719.84272,3036.41,1781.81,30505.65,2853.19,3058.03,3,1
100052,0,0,7,338480.8152,6267296.941,117771,710309,122.001518,12,2,43.6,0.98,0.086,19.90879164,1.363177127,94,0.498140018,704.97642,406.0983,6110.62492,671.08681,719.84272,3036.41,1781.81,30505.65,2853.19,3058.03,3,1
100061,0,0,7,338520.4611,6267243.59,120000,415053,122.001518,9,1,43.6,0.98,0.086,19.91249326,1.298621224,94,0.498140018,704.97642,406.0983,6110.62492,671.08681,719.84272,3036.41,1781.81,30505.65,2853.19,3058.03,3,1
100070,0,0,7,338672.2754,6267348.648,90000,231227,98.045624,15,2,43.6,0.98,0.086,19.72864567,1.26010708,94,0.498140018,704.97642,406.0983,6110.62492,671.08681,719.84272,3036.41,1781.81,30505.65,2853.19,3058.03,3,1
100082,0,0,7,338923.4993,6266488.784,140000,79133,114.663483,11,1,53.8,0.98,0.059,20.1049863,0.606193907,69,0.519764709,704.97642,406.0983,6110.62492,671.08681,719.84272,3036.41,1781.81,30505.65,2853.19,3058.03,3,1
100090,0,0,7,339472.5195,6262741.68,132271,1334494,118.012085,12,2,59.6,0.98,0.033,22.4412699,0.801540017,84,0.678317,704.97642,406.0983,6110.62492,671.08681,719.84272,3036.41,1781.81,30505.65,2853.19,3058.03,3,1
100102,0,0,7,334850.7817,6266124.316,138696,1543874,108.940498,14,2,53.8,0.98,0.059,23.49323332,4.68465324,69,0.519764709,704.97642,406.0983,6110.62492,671.08681,719.84272,3036.41,1781.81,30505.65,2853.19,3058.03,3,1
